ID GRS
1 2.91109682117209
2 3.58725581286855
3 4.0187625426125
4 4.25960701964853
5 3.38657230426473
6 4.27097017945458
7 3.72455637560711
8 4.13209820933881
9 5.18110326787336
10 3.9535296156445
11 4.15000335968112
12 3.5663317956794
13 3.61699134390904
14 3.02998281667466
15 4.99181154389474
16 3.91092495822052
17 4.36640119589728
18 3.54059356045338
19 3.69575423502098
20 3.775317498263
21 3.01771012077366
22 3.20266279760969
23 3.94963057946882
24 4.50252467579053
25 6.0517712355176
26 5.66175874937045
27 3.79515893300634
28 3.77125984617396
29 4.01094762329081
30 4.0213662713537
31 2.55429702342002
32 3.44094934199281
33 2.83500525844364
34 6.09897706028342
35 4.94108814956544
36 3.25633072215017
37 3.68817193937715
38 4.08217342527593
39 3.51508335769712
40 5.99863578382712
41 3.60785740504405
42 3.76094055737944
43 4.11152636309057
44 2.94801563814235
45 3.39655479607968
46 3.03745446853062
47 3.49734015002887
48 3.70216307353513
49 4.13283118816497
50 4.48229688612563
51 3.4175887529939
52 3.799012904714
53 4.11574394157796
54 3.6004182980258
55 3.51856513166728
56 3.57335161146405
57 4.00918231158195
58 3.58582907830785
59 4.0098129060949
60 3.55493655235554
61 3.73194249715021
62 3.2027391609246
63 3.21288518992039
64 3.84150558435763
65 5.23793892986799
66 3.22277830617092
67 3.85222788605748
68 2.65286126454872
69 4.22513593904845
70 4.17115927143752
71 2.6929940099069
72 3.4372924003984
73 4.25223828773398
74 3.79818637724118
75 3.92227023730445
76 4.52059963357808
77 4.02915432571548
78 5.66678467008399
79 3.68192717764577
80 4.01323348951222
81 3.64656186182548
82 3.52555875803942
83 3.71781017556963
84 3.58209519252549
85 4.03309005879423
86 4.35914649645309
87 3.85234011750401
88 4.83732388644559
89 3.82067222508168
90 3.52712094016116
91 3.96217700136895
92 4.67220119911726
93 3.06743082928298
94 3.97580969290498
95 4.23998696335831
96 4.80459160204987
97 3.56384597706773
98 2.98516232758676
99 3.50830016768525
100 4.06946829849987
